('https://www.foxbusiness.com', 'Business')
('https://radio.foxnews.com/podcast', 'Listen')
('https://video.foxnews.com/v/5614615980001/#sp=watch-live', 'Watch TV')
('https://video.foxnews.com/playlist/entertainment-latest-entertainment/', 'Entertainment Video')
('https://www.foxbusiness.com/', 'Business')
('https://www.foxbusiness.com/personal-finance', 'Personal Finance')
('https://www.foxbusiness.com/economy', 'Economy')
('https://www.foxbusiness.com/markets', 'Markets')
('https://www.foxbusiness.com/watchlist', 'Watchlist')
('https://www.foxbusiness.com/lifestyle', 'Lifestyle')
('https://www.foxbusiness.com/real-estate', 'Real Estate')
('https://www.foxbusiness.com/category/technology', 'Tech')
('https://video.foxnews.com/v/5614615980001/#sp=watch-live', 'Watch Live')
('https://video.foxnews.com/playlist/episodic-most-recent-episodes/', 'Full Episodes')
('https://video.foxnews.com/#sp=show-clips', 'Show Clips')
('https://video.foxnews.com/#sp=news-clips', 'News Clips')
('https://foxcareers.com/Search/SearchResults?brand=Fox%20News%20Careers', 'Careers')
('mailto:adsales@foxnews.com?subject=Advertising%20Inquiry', 'Advertise With Us')
('https://press.foxnews.com/media-contacts/', 'Media Relations')
('https://press.foxnews.com/', 'Corporate Information')
('https://supplierdiversity.foxnews.com/', 'Supplier Diversity')
('https://shop.foxnews.com', 'Fox News Shop')
('https://radio.foxnews.com/', 'Fox News Radio')
('https://radio.foxnews.com/podcast', 'Podcasts')
('https://help.foxnews.com', 'Help')
('https://www.factset.com/', 'Factset')
('https://www.factset.com/solutions/business-needs/digital-solutions', 'FactSet Digital Solutions')
('https://www.factset.com/privacy', 'Legal Statement')
('https://lipperalpha.refinitiv.com/', 'Refinitiv Lipper')
('https://www.facebook.com/FoxNews', 'Facebook')
('https://twitter.com/foxnews', 'Twitter')
('https://www.google.com/+FoxNews', 'Google+')
('https://www.instagram.com/foxnews', 'Instagram')
('http://video.foxnews.com/v/6025576909001', '')
('http://video.foxnews.com/v/6025576909001', 'Fox News Flash top headlines for May 5')
('https://www.youtube.com/watch?v=HII9J921gVs', 'event')
('https://www.legacy.com/obituaries/app/obituary.aspx?n=angelo-negri&pid=171162617&fhid=21859', 'obituary')
('https://medium.com/@VPOTUS44/this-is-what-more-than-a-million-miles-with-the-vice-president-looks-like-e7bf29a4dd0a', 'blog post')
('https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/04/30/remarks-by-president-biden-at-an-event-marking-amtraks-50th-anniversary/', 'transcript')
('https://www.nytimes.com/2013/11/29/world/asia/mixed-legacy-for-departing-pakistani-army-chief.html', 'The New York Times')
('https://video.foxnews.com/playlist/entertainment-latest-entertainment/', 'Entertainment Video')
('https://www.foxbusiness.com/', 'Business')
('https://www.foxbusiness.com/personal-finance', 'Personal Finance')
('https://www.foxbusiness.com/economy', 'Economy')
('https://www.foxbusiness.com/markets', 'Markets')
('https://www.foxbusiness.com/watchlist', 'Watchlist')
('https://www.foxbusiness.com/lifestyle', 'Lifestyle')
('https://www.foxbusiness.com/real-estate', 'Real Estate')
('https://www.foxbusiness.com/category/technology', 'Tech')
('https://video.foxnews.com/v/5614615980001/#sp=watch-live', 'Watch Live')
('https://video.foxnews.com/playlist/episodic-most-recent-episodes/', 'Full Episodes')
('https://video.foxnews.com/#sp=show-clips', 'Show Clips')
('https://video.foxnews.com/#sp=news-clips', 'News Clips')
('https://foxcareers.com/Search/SearchResults?brand=Fox%20News%20Careers', 'Careers')
('mailto:adsales@foxnews.com?subject=Advertising%20Inquiry', 'Advertise With Us')
('https://press.foxnews.com/media-contacts/', 'Media Relations')
('https://press.foxnews.com/', 'Corporate Information')
('https://supplierdiversity.foxnews.com/', 'Supplier Diversity')
('https://shop.foxnews.com', 'Fox News Shop')
('https://radio.foxnews.com/', 'Fox News Radio')
('https://radio.foxnews.com/podcast', 'Podcasts')
('https://www.facebook.com/FoxNews', 'Facebook')
('https://twitter.com/foxnews', 'Twitter')
('https://www.instagram.com/foxnews', 'Instagram')
('https://www.youtube.com/FoxNewsChannel', 'Youtube')
('https://flipboard.com/@FoxNews', 'Flipboard')
('https://www.linkedin.com/company/fox-news-channel/', 'LinkedIn')
('https://foxnews.slack.com/apps/A013AUF6VMG-fox-news', 'Slack')
('https://open.spotify.com/show/7A4YfyFtNOZhqMV7F3kYVu', 'Spotify')
('https://www.iheart.com/podcast/256-the-fox-news-rundown-31090295/', 'iHeartRadio')
('https://help.foxnews.com', 'Help')
('https://www.factset.com/', 'Factset')
('https://www.factset.com/solutions/business-needs/digital-solutions', 'FactSet Digital Solutions')
('https://www.factset.com/privacy', 'Legal Statement')
('https://lipperalpha.refinitiv.com/', 'Refinitiv Lipper')
